"Name","Owner","Action","Priority","Reviewed","Action Reason","Revisit At","Description","Tags","Sector","Industry","Country","Is Tech Startup Score","Tech Startup Likelihood Assessment","Is Tech Startup?","Score","VAL Priority Score","VAL Priority Reason","Comments","Website","Linkedin","Lead source","Founded","Linked Opportunities"
"Meri Mitti","","reject","","Yes","Niche and limited market","","Meri Mitti isn't just a platform. We're all about giving artisans their due, cutting out the middlemen, and making sure everyone gets a fair shot at success. When you shop with us, you're not just buying – you're becoming part of a community that believes in real connections, conscious choices, cultural roots, and a sustainable future.","","Consumer","Information Services","Singapore","8","Meri Mitti is a platform that aims to empower artisans and disrupt the traditional supply chain. They focus on creating a global marketplace for artisans to sell their products directly, cutting out middlemen. Their mission of empowering artisans and promoting sustainability aligns with typical tech startup goals of using technology to innovate and disrupt traditional industries.","Yes","0","10","- The company has not shown significant growth in the number of employees, with no current job openings or employee percentage growth indicated. This indicates a lack of breakthrough potential in terms of scaling up the team.
- The company's website traffic data is not provided, so it is unclear if there has been a significant increase in web traffic, which is a key indicator of breakthrough potential.
- The company has a relatively low number of LinkedIn followers (65), which suggests limited social media presence and traction, impacting its likelihood of being a breakthrough.
- The company has not raised any funds in recent years, which is a negative signal for breakthrough potential as fundraising is crucial for growth and expansion.
- There is no information on news exposure, indicating a lack of significant milestones or achievements that could signal breakthrough potential.
- The company has not obtained any patents, which could have demonstrated innovation and differentiation in the market, enhancing its breakthrough potential.
- There is no information provided on the founder profile, such as having a super founder, strong founder, or promising founder, which could have positively influenced the likelihood of breakthrough for the company.","","merimitti.org","https://www.linkedin.com/company/meri-mitti","Coresignal","2022",""
"Metabay.co","Khushbu Perkash Topandasani ","reject","","Yes","founder started another venture","","Welcome to Metabay ✨

Imagine a place where you can deeply connect with your favorite creators: artists, entrepreneurs, athletes. Metabay is the social platform that allows you to enter creator's universe.  🏝️

The way it works

For each of your favorite influencer, there will be only 1,000 access passes that can be acquired on our official website https://www.metabay.co/ or exchanged within the community on secondary marketplaces. - more info on our website.

__


By owning one of those access pass, not only you are joining the 1,000 club of the creator's close community, but you are also accessing many rewards and benefits:

📲 Connect with creators like never before

 ▸ Exclusive content and connection

 ▸ You are immediately into a group chat with the creator and will have the unique opportunity to connect over video call every month.

👥 Belong to a privileged community

 ▸ You can be one of the 1,000 privileged to be part of your favorite creators community, and you'll be connected together.

🎁 Get rewards and perks

 ▸ You will get rewards from the creators universe such as access to exclusive content, private events, clothing, personalized videos, and many surprise","","Consumer","Social Networking Platforms","Singapore","8","Metabay is a social platform that connects users with their favorite creators, offering exclusive content and benefits. The platform utilizes technology to create a unique user experience and leverages digital connections. While it is not a traditional tech product, it falls under the category of Consumer tech startups.","Yes","0","60","I am giving a likelihood score of 60 that the company exhibits breakthrough signals. The company, Metabay, has shown breakthrough signals in terms of its unique business model that focuses on connecting users with their favorite creators through exclusive access passes. This innovative approach to social networking could potentially disrupt the traditional influencer marketing industry. Additionally, the company's emphasis on creating a sense of exclusivity and community among its users sets it apart from other social platforms. However, there is no information available on the company's number of employees, current job openings, website traffic, LinkedIn followers, funding history, news exposure, patents, or founder profiles. Without this crucial data, it is challenging to fully assess the company's potential for breakthrough success. Therefore, while the concept and approach of Metabay are promising, the lack of information on key criteria limits the certainty of its breakthrough potential.","","metabayco.vertex_invalid","https://www.linkedin.com/company/metabay-co","Coresignal","2022",""
"Metacarbon","","reject","","Yes","ESG concerns due to e-cigarettes.","","Meta Carbon is a pioneering company that leverages blockchain technology to revolutionize the global traditional e-cigarette industry. By harnessing the power of Web3, we are reshaping the landscape of the traditional e-cigarette market and offering innovative e-cigarette products and services worldwide.

At Metacarbon, we have developed an underlying protocol based on Web3, which allows us to seamlessly integrate the global traditional e-cigarette ecosystem. This integration has enabled us to create the world's first Web3-based e-cigarette product, setting a new standard for the industry.

In the digital economy era, Metacarbon facilitates data communication between smart e-cigarettes and mobile devices through Bluetooth technology. Through the use of smart contracts, we intelligently calculate and define the carbon reduction capacity of e-cigarettes, generating POCB (Proof of Consumer Behavior) to embed innovative token incentives.

Our unique approach combines the principles of the real economy and the digital economy, bridging the gap between the tangible and intangible worlds. By visualizing the value of the low carbon economy and materializing the digital economy business, Meta Carbon is at the forefront of driving sustainable and profitable growth in the e-cigarette industry.

Join us on our mission to transform the global traditional e-cigarette market, as we empower individuals and businesses to embrace a more sustainable and technologically advanced future. Together, we can create a world where e-cigarettes not only provide a safer alternative to traditional smoking but also contribute to a greener and more connected society.","","Sustainability","Blockchain Services","Singapore","9","Meta Carbon is leveraging blockchain technology to revolutionize the traditional e-cigarette industry, creating innovative products and services. They are at the forefront of driving sustainable and profitable growth in the industry by combining principles of the real and digital economy. Their use of Web3 technology and smart contracts sets them apart as a tech startup.","Yes","0","20","- The company has not shown breakthrough signals in terms of number of employees as there is no information provided about hiring trends or current job openings.
- The company has not shown breakthrough signals in terms of web traffic as there is no information provided about website traffic growth.
- The company has not shown breakthrough signals in terms of social media presence as there is no information provided about LinkedIn followers.
- The company has not shown breakthrough signals in terms of funding as there is no information provided about raised rounds.
- The company has not shown breakthrough signals in terms of news exposure as there is no information provided about news mentions.
- The company has not shown breakthrough signals in terms of patents as there is no information provided about patents obtained.
- The company has not shown breakthrough signals in terms of founder profile as there is no information provided about the founder's background or experience.","","gitbook.io","https://www.linkedin.com/company/metacarbon-pte-ltd","Coresignal","2022",""
"METAGAME INDUSTRIES","","reject","","Yes","Not interesting","","An interconnected ecosystem of top-quality games, providing gamers a play-for-fun and skill-to-earn experience and creating a low-threshold portal to the Metaverse!","","Gaming","Computer Games","Singapore","9","The company is focused on developing innovative gaming solutions and leveraging technology to create a unique gaming experience. They are not providing traditional consultancy services but are building their own software product in the gaming industry.","Yes","0","0","- There is no available information or statistics provided to assess the likelihood that the company exhibits breakthrough signals in any of the given criteria.","","metagame_industries.vertex_invalid","https://www.linkedin.com/company/metagame-industries","Coresignal","2022",""
"NOTA","Grace Kong","approve","","Yes","","","NOTA is a social gaming app for gamers to build more meaningful connections between each other and their favorite streamers.","","Gaming","Mobile Gaming Apps","Singapore","8","NOTA is a social gaming app that aims to build connections between gamers and streamers, leveraging technology to enhance the gaming experience. The company is developing its own software platform to facilitate these interactions, making it a tech startup.","Yes","0","10","- The company has not shown breakthrough signals in terms of number of employees as there is no information provided about hiring more employees or current job openings.
- The company's website traffic has decreased significantly over the recent period, with a percentage growth of -44.19%. This indicates a lack of breakthrough potential in terms of web traffic.
- There is no information provided about the company's social media presence, specifically the number of followers on LinkedIn.
- The company has raised funds in the past, with a seed round in 2023. While this is a positive signal, the lack of recent fundraising rounds or total funds raised over $1 million limits the breakthrough potential.
- There is no information provided about news exposure, such as mentions in news reports for reaching milestones.
- The company has not obtained any patents, which could have indicated breakthrough potential.
- There is no information provided about the founder profile, such as having a super founder, strong founder, or promising founder with relevant experience in the industry.","","nota.club","https://www.linkedin.com/company/nota-club","Coresignal, Dealroom","2022","NOTA"
"Omasu","","reject","","Yes","Limited traction, likely very early stage.","","Understanding and deciphering the e-commerce ‘black box’ is usually a challenge. Brands are bombarded with flashy dashboards and countless metrics, making it challenging to truly understand performance, including what works and what does not. 

Tailor-made for small medium business in South East Asia, Omasu navigates the complexities of digital platforms to pinpoint essential and areas of improvements. 

By providing clear, actionable steps, recommendations and a roadmap, Omasu is your co-pilot, helping you to take back control of your business.","","Enterprise","Technology, Information and Internet","Singapore","9","The company is developing a software product to simplify e-commerce analytics and provide actionable recommendations. They are not just a consultancy firm but are creating a tech solution to help businesses navigate the complexities of digital platforms. They are focused on leveraging technology to provide innovative solutions.","Yes","0","0","- The company does not exhibit breakthrough signals based on the following criteria: 
- Number of employees: No information provided on employee growth or current job openings. 
- Web traffic: No information provided on website traffic growth. 
- LinkedIn followers: No information provided on social media presence. 
- Raised rounds: No information provided on recent fundraising rounds, total funds raised, or institutional investors. 
- News: No information provided on news exposure. 
- Patents: No information provided on patents obtained. 
- Founder profile: No information provided on the founder's background or experience.","","omasu.io","https://www.linkedin.com/company/omasu","Coresignal","2022",""
"OriginX AI","","reject","","Yes","Focus on fanfiction community is not so interesting","","Reimagine the future of interactive entertainment, celebrating every imagination | Grow digital GDP 1000X, accelerate the advent of abundance using AGI.","","Gaming","Technology, Information and Internet","Singapore","9","The company is focused on reimagining interactive entertainment and accelerating the advent of abundance using AGI, showcasing a strong emphasis on technology and innovation.","Yes","0","0","- The company does not exhibit breakthrough signals based on the following criteria:
- Number of employees: No information provided on employee growth or current job openings.
- Web traffic: No information provided on website traffic growth.
- Funding: No fundraising rounds mentioned.
- News exposure: No news reports mentioned.
- Patents: No information provided on patents.
- Founder profile: No information provided on the founder's background or experience.","","originx.ai","https://www.linkedin.com/company/originx-ai","Coresignal","2022",""
"Out of the Common","","reject","","Yes","Not a tech startup, service-based","","At Out of the Common we provide personalized movement coaching training combining tailored mobility, strength, fitness, and prehab principles to help our customers achieve their goals.

We help our customers improve their health span by reducing pain and allowing them to do more with their bodies.","","HealthTech","Wellness and Fitness Services","Singapore","8","The company provides personalized movement coaching training combining tailored mobility, strength, fitness, and prehab principles to help customers achieve their fitness goals. They aim to improve health span by reducing pain and allowing customers to do more with their bodies, which aligns with the use of technology in health and fitness. They offer individualized coaching and training programs designed for each customer, showcasing a tech-enabled approach to fitness. The company also offers remote coaching services, indicating a digital aspect to their business model. Overall, the company's focus on using technology to enhance fitness and health outcomes qualifies them as a tech startup.","Yes","0","0","- The company does not exhibit breakthrough signals based on the following criteria: 
- Number of employees: No information provided on recent employee growth or current job openings. 
- Web traffic: No information provided on website traffic growth. 
- Social media presence: No information provided on LinkedIn followers. 
- Funding: No information provided on recent fundraising rounds, total funds raised, or institutional investors. 
- News exposure: No information provided on news mentions. 
- Patents: No information provided on patents obtained. 
- Founder profile: No information provided on the founder's background or experience.","","outofthecommonsg.com","https://www.linkedin.com/company/out-of-the-common","Coresignal","2022",""
"Pacific AquaCulture","","reject","","Yes","Direct high-tech farmer, rather than selling a tech product","","Pacific Aquaculture is an indoor farm that uses intricate technology to provide you the highest quality of food. A combination of mechanical filtration system and bacterial ecosystem to recreate the natural habitat of our food, that allow us to reuse our water repeatedly.","","Others","Wholesale Import and Export","Singapore","9","The company is utilizing intricate technology to revolutionize indoor farming, showcasing innovation in the food industry. They are focused on creating high-quality food using a combination of mechanical filtration systems and bacterial ecosystems. This aligns with the definition of a tech startup as they are leveraging technology to create innovative products and services.","Yes","0","10","- The company has not shown breakthrough signals in terms of number of employees as there is no information provided about hiring more employees or significant growth in this area. 
- The company has not shown breakthrough signals in terms of web traffic as there is no information provided about significant increase in website traffic. 
- The company has a low number of LinkedIn followers (19), indicating limited social media presence and traction. 
- The company has not raised any funds in recent years, which is a negative signal for breakthrough potential. 
- There is no information provided about news exposure, indicating limited visibility and recognition in the industry. 
- The company has not obtained any patents, which could have indicated innovation and breakthrough potential. 
- There is no information provided about the founder profile, such as having a super founder, strong founder, or promising founder, which could have positively influenced the breakthrough potential.","","pacific-aquaculture.com","https://www.linkedin.com/company/pacificaquaculture","Coresignal","2022",""
"PV.app - Patient Safety Monitoring & Research","Grace Kong","approve","low","Yes","Grace met at event (Microsoft Gen AI acc launch) before.","","🧬 Life Science is more than a business sector; it’s the cornerstone of human health - the base and source of innovation. 

Even with healthcare being so crucial, it’s impossible to rest knowing the industry still grapples with challenges and limitations.

In response to this injustice, a team of passionate software engineers and pharmaceutical professionals from across the globe joined forces. 
We have founded Genira, established in the vibrant city of Singapore.🇸🇬

Our commitment is to bring cutting-edge user experience and technological advancements to all healthcare professionals who strive daily to save lives and improve patient well-being.

 Addressing the demands of modern pharmacovigilance head-on, where over 60% of cases are under-reported and manual processes still dominate, we created PV.app.

PV.app is an AI-powered cloud solution that simplifies the case intake for pharmaceutical companies, biotechs, and CROs, leading to increased reporting rates and improved safety compliance. 

Leveraging machine-learning techniques and adhering strictly to international standards, PV.app becomes a powerful tool for all safety studies, offering:

⏱️ Speed in detecting emerging safety issues and initiating studies
🧘 Efficiency by reducing team workload for case processing
📈 Cost-Effectiveness as an all-in-one solution for data collection, analysis, and reporting

👉Join the PV.app revolution - for a safer, smarter, and more efficient approach to pharmaceutical safety surveillance. 
Send the request for a demo and get early access to our new features: https://www.pv.app/#contact","","HealthTech","IT Services and IT Consulting","Singapore","9","Genira is developing an AI-powered cloud solution for pharmacovigilance, leveraging machine-learning techniques and adhering strictly to international standards. They are focused on bringing cutting-edge technology to healthcare professionals to improve patient well-being. Their product, PV.app, aims to simplify case intake for pharmaceutical companies, biotechs, and CROs, leading to increased reporting rates and improved safety compliance. They are revolutionizing the future of pharmacovigilance with their innovative approach and technology-driven solution.","Yes","0","80","- The company, Genira, has developed PV.app, an AI-powered cloud solution that simplifies case intake for pharmaceutical companies, biotechs, and CROs, leading to increased reporting rates and improved safety compliance. This innovative solution addresses the demands of modern pharmacovigilance, where manual processes still dominate, showing breakthrough potential in the healthcare industry.
- Genira is committed to bringing cutting-edge user experience and technological advancements to healthcare professionals, demonstrating a focus on innovation and advancement in the sector.
- The company is based in Singapore, a hub for technological innovation and a strategic location for expanding into the Asian market, showcasing potential for growth and scalability.
- PV.app leverages machine-learning techniques and adheres strictly to international standards, making it a powerful tool for safety studies, offering speed in detecting emerging safety issues, efficiency in reducing team workload, and cost-effectiveness as an all-in-one solution for data collection, analysis, and reporting.
- The company's mission to revolutionize pharmaceutical safety surveillance with PV.app indicates a strong vision and commitment to making a significant impact in the healthcare industry.
- The company's focus on addressing challenges and limitations in the healthcare industry, such as under-reported cases and manual processes, shows a proactive approach towards innovation and problem-solving.
- Genira's emphasis on bringing a safer, smarter, and more efficient approach to pharmaceutical safety surveillance through PV.app demonstrates a clear value proposition and potential for disruption in the market.","Surprised this came up so high without much breakthrough signals. Founder reached out to me again after event. He was raising pre-seed of 250k, and i hinted to him that any meeting would likely be only an introductory one.","pv.app","https://www.linkedin.com/company/pharmhella","Coresignal","2022","PV.app"
"RZOLUT (rey-zo-lute)","Benedict TAN","reject","","Yes","This is an India company - better for India team to evaluate","","RZOLUT is a Regulatory Technology (RegTech) and Supervision Technology (SupTech) organization that operates in the Data Asset space. We aim to deliver value to clients by building solutions, developing data assets, and managing projects across use cases.

We provide global organizations with critical tech tools they need around Diligence and Risk & Compliance Data, to help identify and monitor risk events on customers, vendors, and their business. We conceptualize, build, and maintain high accuracy Risk Data Assets at scale, faster, and more economical, than anyone!

Our products and domain specialists cater to clients that address 238 jurisdictions, covering 85 languages across the globe.

At Rzolut, we leverage proprietary multi-faceted technologies, data assets, methodologies, and frameworks to deliver the following offerings:

Products - Built in partnership with global brands or wholly managed
Applications - Technologies, tools, and platforms to build data assets
Services -Build and manage data assets or technologies for clients, from conceptualization to delivery.","","FinTech","Financial Services","Singapore","9","RZOLUT is a Regulatory Technology (RegTech) and Supervision Technology (SupTech) organization that operates in the Data Asset space. They aim to deliver value to clients by building solutions, developing data assets, and managing projects across use cases. They provide global organizations with critical tech tools around Diligence and Risk & Compliance Data, conceptualize, build, and maintain high accuracy Risk Data Assets at scale, faster, and more economical than anyone. Their products, domain specialists, and offerings are tech-focused, leveraging proprietary multi-faceted technologies, data assets, methodologies, and frameworks. They provide solutions for Financial Services, Risk Intelligence, Crypto, Public Sector, Legal Research, and Mining and Manufacturing. Their technology-driven approach, focus on data intelligence, and tech solutions categorize them as a tech startup.","Yes","0","60","I would give this company a likelihood score of 60 to exhibit breakthrough signals. The company has shown breakthrough signals in the criteria of web traffic. The website traffic time series data indicates a significant increase in traffic over the recent period, which suggests growing interest and potential traction for the company. However, there is no information available on the number of employees, current job openings, LinkedIn followers, raised funding rounds, news exposure, patents, or founder profiles. Without this information, it is challenging to fully assess the company's potential for breakthrough success. Therefore, while the increase in web traffic is a positive signal, the lack of data in other key criteria limits the overall assessment.","","rzolut.com","https://www.linkedin.com/company/rzoluttec","Coresignal","2022",""
"Sandbar Swimwear","Jessica Koh","reject","","Yes","Seems like a small SME lifestyle business","","Sandbar is a disruptor in the swimwear industry. Why make swimwear from new plastics when you can use recycled plastic bottles instead? 

We then use these funds to further save our oceans from plastic pollution through beach clean up projects. For every item we sell, we remove a whopping 1KG of ocean plastic. 

Sandbar provides premium family matching UPF50 swimwear made from recycled materials and funding ocean clean up projects. We design and sell online, in store and through wholesale:

- Premium Mens & Kids Swimshorts - Printed and Embroidered 
- Premium Womens & Girls Surfsuits, onepieces and bikinis 
- Adult and kids UPF50 rash guards 
- Super soft UPF50 Baby Swimsuits 
- Turkish Beach Towels
- High end eco Sunscreen
- Organic Beach Bags

Our mission is to provide a platform on an individual level to make a difference. Ocean plastic is a pandemic and our goal is to remove 1 million KGs of plastic from the oceans! 

For Our Tomorrow.

Visit www.WeAreSandbar.com

Follow @WeAreSandbar","","Sustainability","Apparel & Fashion","Singapore","3","While Sandbar is a company that focuses on sustainability and uses technology for its online platform, its core business is in the apparel and fashion industry. The technology aspect is more of an enabler for their mission rather than the primary focus of the business.","No","0","60","I have assigned a likelihood score of 60 for Sandbar exhibiting breakthrough signals. The company has shown breakthrough signals in the industry disruption criteria. Sandbar is disrupting the swimwear industry by using recycled plastic bottles to make swimwear, which is a unique and environmentally friendly approach. This innovative business model sets them apart from traditional swimwear companies and shows potential for significant impact. However, there is no information available on the company's employee growth, website traffic, LinkedIn followers, funding rounds, news exposure, patents, or founder profiles. Without this additional data, it is challenging to assess the company's overall breakthrough potential accurately. Therefore, the score is based solely on the industry disruption aspect.","","wearesandbar.com","https://www.linkedin.com/company/sandbar-swimwear","Coresignal","2022",""
"SG ROBOTICS REHAB CENTRE PL","Isaac KWA","reject","","Yes","Seems more like a clinic than a VC-type tech start-up, though they offer therapies enabled by medical equipment/devices.","","SG Robotics Rehab Centre was founded in 2022 in Singapore, with clinic conveniently located in the heart of orchard road. 

It has the edge over current modalities, encompassing proven clinically sound therapy and technologically driven approaches in setting new standards in rehabilitation!

A definite trend-setter.

We combined technology and conventional treatments to help neurological and musculoskeletal patients to gain back their functionality and quality of life.

We are proud to be the first private physiotherapy clinic that combines robotics technology and conventional treatments in our approach.","","HealthTech","Hospitals and Health Care","Singapore","9","Based on the company description and the use of technology in their approach to rehabilitation, it is highly likely that SG Robotics Rehab Centre is a tech startup. They mention combining robotics technology with conventional treatments to help patients regain functionality and quality of life. This innovative use of technology in the healthcare industry indicates that they are utilizing technology to meet a marketplace need. The mention of being the first private physiotherapy clinic to combine robotics technology further supports the likelihood that they are a tech startup.","Yes","0","80","I would give SG Robotics Rehab Centre a likelihood score of 80 for exhibiting breakthrough signals. The company has shown breakthrough signals in the criteria of combining technology and conventional treatments to set new standards in rehabilitation, which indicates innovation and a unique approach in the Hospitals and Health Care industry. This trend-setting approach can potentially lead to significant advancements in patient care and outcomes. Additionally, the company's focus on helping neurological and musculoskeletal patients regain functionality and quality of life shows a clear mission and target market. While there is no information available on the company's number of employees, website traffic, funding rounds, news exposure, patents, or founder profiles, the innovative approach and the potential impact on patient care are strong indicators of breakthrough potential in the industry.","","roboticsrehabcentre.com","https://www.linkedin.com/company/sg-robotics-rehab-centre","Coresignal","2022",""
"SmartStickies","","reject","","Yes","Limited market, not tech startup","","SmartStickies is a one-stop platform to manage, connect and elevate customers’ experience through digital triggers. 

Join us to unlock a world of convenience with our SmartStickies where we connect experiences with a touch of a phone.","","Consumer","IT Services and IT Consulting","Singapore","9","SmartStickies is developing a cloud-based platform that utilizes NFC stickers to enhance customer experiences. They are creating innovative technology to revolutionize connectivity and convenience, which aligns with the characteristics of a tech startup.","Yes","0","0","- The company does not exhibit breakthrough signals based on the following criteria: 
- Number of employees: No information provided on recent employee growth or current job openings. 
- Web traffic: No information provided on website traffic growth. 
- Social media presence: No information provided on LinkedIn followers. 
- Funding: No information provided on recent fundraising rounds, total funds raised, or institutional investors. 
- News exposure: No information provided on news mentions. 
- Patents: No information provided on patents obtained. 
- Founder profile: No information provided on the founder's background or experience.","","smart-stickies.com","https://www.linkedin.com/company/smartstickies","Coresignal","2022",""
"Speechsquare","Khushbu Perkash Topandasani ","approve","","Yes","already spoke, too early","","Speechsquare is the AI Speech Analytics company. We optimize the tutoring & testing of oral skills.

Our proprietary AI allows granular analysis of speech up to the phoneme enabling instant visual and audio feedback for the learner and powerful analysis tools for language specialists.

Speechsquare is available in 7 languages: English,Mandarin, Korean, Japanese, Spanish, French, and German.

Additional features: 
- Generative AI through SQ.ai (aka SKY) helps teachers and consultants create new content in 7 languages in seconds. 
- Our platform is built for scalability with limitless content creation capabilities and immediate conversion into actionable pronunciation exercises. 
- Assessment Suite: Create exam-style assessments to test learner proficiency on long passages of text. 
- AI Learning Paths: Automatically adjust learner difficulty to balance learning objectives with confidence.

Speechsquare was part of the 2023 Cohort of the AWS EdStart Acceleration Programs.

We work with universities and public schools in Europe, international schools in North Asia, and language schools, centres, and consultancies in Southeast Asia.","","EdTech","Education","Singapore","9","The company is developing an AI speech analytics platform to automate tutoring and testing of student's oral skills, leveraging technology to provide personalized feedback and valuable analytics. This aligns with the definition of a tech startup focusing on using technology to create innovative products and services.","Yes","0","10","- The company has not shown breakthrough signals in terms of number of employees as there has been no significant increase in the employee count over the recent period.
- The company's website traffic has actually decreased significantly by 50.0% over the recent period, indicating a lack of breakthrough in this aspect.
- There is no information provided about the company's social media presence, so it is unclear if they are gaining traction in this area.
- The company has not raised any funds in recent years, which is a negative signal for breakthrough potential.
- There is no news exposure mentioned for the company, indicating a lack of significant milestones or achievements.
- The company has not obtained any patents, which could have indicated innovation and breakthrough potential.
- There is no information provided about the founder profile, so it is unclear if the company has a super founder, strong founder, or promising founder with relevant experience.","Website doesn't work. But have LI page and COO can be found on LI. @[Khushbu Perkash Topandasani ](19) interested?","speechsquare.ai","https://www.linkedin.com/company/speechsquare","Coresignal, Dealroom","2019","Speechsquare"
"Starcade","","reject","","Yes","Not that interesting","","Online gaming company that transforms arcade games into online experiences for a unique playing adventure.","","Gaming","Mobile Gaming Apps","Singapore","9","The company is developing its own software product in the form of online gaming apps, which aligns with the definition of a tech startup. They are leveraging technology to create innovative products in the gaming industry.","Yes","0","0","- There is no available information to assess the likelihood of breakthrough signals for the company based on the given criteria.","","starcade.vertex_invalid","https://www.linkedin.com/company/starcadegame","Coresignal","2022",""
"Stardust Digital Pte Ltd","","reject","","Yes","Not interesting, no clear traction.","","An entertainment metaverse.","","Gaming","Social Networking Platforms","Singapore","9","The company is focused on creating an entertainment metaverse, which involves the use of technology to build a virtual world for users to interact and engage with. This aligns with the definition of a tech startup as they are leveraging technology to create innovative products and services.","Yes","0","0","- The company has not shown breakthrough signals based on the following criteria:
- Number of employees: No information provided on employee growth or current job openings.
- Web traffic: No information provided on website traffic growth.
- Funding: No information provided on raised rounds or total funds raised.
- News exposure: No information provided on news mentions.
- Patents: No information provided on patents.
- Founder profile: No information provided on the founder's profile or relevant experience.","","thestardust.life","https://www.linkedin.com/company/stardust-metaverse","Coresignal","2022","Stardust"
"Synfindo","Chan Yip Pang","reject","","Yes","Main 'products' seem to be hackathons and innovation challenges.","","Synfindo is a Fintech company with a mission to accelerate growth in the financial services industry. Its products enable and foster swift collaboration between Financial Institutions (FIs), Fintechs, Educational Institutions and developers.

Synfindo operates the APIX Platform, an ecosystem where Financial Institutions and regulators can search for and discover innovative, digital solution providers from 1,800+ Fintechs. They can rapidly design, experiment and test solutions by creating their proof of concept on the platform.

With Synfindo’s technological enablement and digitisation through its ecosystem, Financial Institutions can improve their customer solutions, serve their existing customers better and access new market segments in emerging economies.

Synfindo represents the future and an evolution of the highly successful APIX platform which was initially launched in 2018 by India’s Prime Minister Narendra Modi and Singapore’s Deputy Prime Minister Tharman Shanmugaratnam as a non-profit under the Monetary Authority of Singapore (MAS). It was then founded as a commercial entity in late 2022. Its investors include the LemmaTree Group (founded by Temasek) and Mastercard.","","FinTech","Technology, Information and Internet","Singapore","9","The company description mentions that Synfindo is a Fintech company with a mission to accelerate growth in the financial services industry. They operate the APIX Platform, which is an ecosystem for Financial Institutions and regulators to discover innovative digital solution providers. They enable collaboration and digitization in the financial services industry. The website content further emphasizes their services and platform, highlighting their collaboration with major banks, insurers, and regulators. They also mention their specialized digital solutions and their ecosystem participants, which include Fintech and developer partners. Overall, the company's focus on leveraging technology to innovate and digitize the financial services industry aligns with the characteristics of a tech startup.","Yes","0","80","I have assigned a likelihood score of 80 for Synfindo exhibiting breakthrough signals. The company has shown breakthrough signals in the funding criteria. Synfindo has raised funds in recent years, with investors including the LemmaTree Group (founded by Temasek) and Mastercard. This indicates investor confidence in the company's potential. Additionally, the company's most recent fundraising round was in the past three years, and it has raised more than one funding round to date, which are positive indicators. However, there is no information available on the number of employees, website traffic, LinkedIn followers, news exposure, patents, or founder profiles. Without this information, it is difficult to fully assess the company's breakthrough potential in these areas. Overall, based on the available information on funding and investor backing, Synfindo shows promising signs of being a breakthrough tech start-up.","","synfindo.com","https://www.linkedin.com/company/synfindo","Coresignal","2022",""
"Tafgai","Isaac KWA","reject","","Yes","Some tech but also some consultancy element.","","TAFGAI is an innovative AI-driven platform that unlocks the narrative within financial data. It distills complex financial, strategic, and risk-related information into clear, actionable insights. By leveraging Natural Language Generation and Understanding, TAFGAI empowers businesses, financial institutions, and professionals to make informed decisions with a focus on predicting future scenarios and prescribing optimal actions. It revolutionizes financial storytelling, serving as a trusted partner across diverse sectors, from corporations and financial institutions to government agencies and non-profit organizations. TAFGAI is dedicated to simplifying and enhancing financial understanding for a more successful and sustainable future.","","FinTech","IT Services and IT Consulting","Singapore","9","The company description and website content indicate that TAFGAI is an innovative AI-driven platform that utilizes technology to distill complex financial information into clear insights. They leverage Natural Language Generation and Understanding to empower businesses and professionals to make informed decisions. The website content emphasizes their AI technology and its applications in financial management, risk assessment, strategic planning, and more. This aligns with the characteristics of a tech startup that utilizes technology to meet a marketplace need. Therefore, the likelihood that TAFGAI is a tech startup is high.","Yes","0","70","I would give this company a likelihood score of 70 for exhibiting breakthrough signals. The company has shown breakthrough signals in the criteria of web traffic, with a significant increase in website traffic over the recent period. This indicates growing interest and potential traction for the company's AI-driven platform. However, there is no information available on the number of employees, current job openings, funding rounds, news exposure, patents, or founder profiles. Without this information, it is difficult to fully assess the company's potential for breakthrough success. If the company can provide more data on these aspects, it could further strengthen its case as a good investment target.","","tafgai.com","https://www.linkedin.com/company/tafgai","Coresignal","2022",""
"Talentport","","reject","","Yes","Not tech startup, is a remote talent agency","","Talentporters (Talentport candidates) are the best remote talents that a company can hire. Talentporters are rigorously screened and tested, both in communication and technical skills - ensuring candidates who are driven, hungry and results-oriented. We only select the top 3% of candidates for you, guaranteeing your growth and impact. We've helped many small and medium enterprises scale and save up to 70% on manpower costs. We focus on software engineers, digital marketers and creative designers. 

Kickstart your growth with us.","","Enterprise","Human Resources Services","Singapore","9","Talentporters is a tech startup that focuses on providing a platform for hiring remote talents. They are leveraging technology to connect companies with top candidates in a more efficient and cost-effective manner. Their emphasis on software engineers, digital marketers, and creative designers showcases their tech-focused approach. Additionally, their screening and testing processes demonstrate the use of innovative technology in their business model. Overall, Talentporters aligns with the characteristics of a tech startup.","Yes","0","0","- There is no information provided to assess the likelihood of breakthrough signals for the company based on the given criteria.","","talentport.vertex_invalid","https://www.linkedin.com/company/talentport","Coresignal","2022",""
